** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:1:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:1:(-1 -1 -1 ?):[]:[]
Skara-Brae:50:50:0:-1:24:(2 -1 -1 ?):[]:[]
Hudekob Chapel:291:917:0:-1:24:(2 -1 -1 ?):[]:[]
Hokes Passing:5:113:0:-1:41:(2 -1 -1 ?):[]:[]
Mesimbridge Hold:537:772:0:-1:22:(2 -1 -1 ?):[]:[]
Sebinok keep:947:587:0:-1:37:(2 -1 -1 ?):[]:[]
Nilam Gulch:841:774:0:-1:41:(2 -1 -1 ?):[]:[]
Ratudland Town:237:859:0:-1:22:(2 -1 -1 ?):[]:[]
Kings Fakekas:523:639:0:-1:30:(2 -1 -1 ?):[]:[]
Hekormore Township:413:177:0:-1:32:(2 -1 -1 ?):[]:[]
Chomud burrow:426:675:0:-1:36:(2 -1 -1 ?):[]:[]
Dragons Ruppont:973:628:0:-1:33:(2 -1 -1 ?):[]:[]
Pem Trenches:379:958:0:-1:41:(2 -1 -1 ?):[]:[]
Jinicom Gap:453:435:0:-1:41:(2 -1 -1 ?):[]:[]
Sen Tabernacle:771:390:0:-1:24:(2 -1 -1 ?):[]:[]
Knights Pibokking:330:222:0:-1:26:(2 -1 -1 ?):[]:[]
Gimok fount:29:594:0:-1:38:(2 -1 -1 ?):[]:[]
New Duropfield:400:871:0:-1:34:(2 -1 -1 ?):[]:[]
Milil Trenches:309:769:0:-1:41:(2 -1 -1 ?):[]:[]
Mobepul Ruins:790:452:0:-1:24:(2 -1 -1 ?):[]:[]
Cusanup Chapel:501:814:0:-1:24:(2 -1 -1 ?):[]:[]
Marapir Inlet:687:534:0:-1:34:(2 -1 -1 ?):[]:[]
Ginupup Proper:48:87:0:-1:22:(2 -1 -1 ?):[]:[]
Dotib Manor:448:854:0:-1:24:(2 -1 -1 ?):[]:[]
Sisot cavern:395:403:0:-1:35:(2 -1 -1 ?):[]:[]
Tiken burrow:417:375:0:-1:35:(2 -1 -1 ?):[]:[]
Hur shaft:119:345:0:-1:38:(2 -1 -1 ?):[]:[]
Lower Gamuson:371:392:0:-1:30:(2 -1 -1 ?):[]:[]
Cobepub Commons:621:182:0:-1:30:(2 -1 -1 ?):[]:[]
Chanutia Commons:849:694:0:-1:33:(2 -1 -1 ?):[]:[]
Diborub Tabernacle:585:128:0:-1:24:(2 -1 -1 ?):[]:[]
Shotelor Proper:171:483:0:-1:23:(2 -1 -1 ?):[]:[]
Thaboc fount:398:198:0:-1:38:(2 -1 -1 ?):[]:[]
Konal hold:870:796:0:-1:37:(2 -1 -1 ?):[]:[]
Stapuk cave:71:651:0:-1:35:(2 -1 -1 ?):[]:[]
Buron Pantheon:922:934:0:-1:24:(2 -1 -1 ?):[]:[]
Kumec Pantheon:168:437:0:-1:24:(2 -1 -1 ?):[]:[]
Lower Bathirst:110:167:0:-1:21:(2 -1 -1 ?):[]:[]
Fort Thabhowe:76:468:0:-1:22:(2 -1 -1 ?):[]:[]
New Buladfolk:447:206:0:-1:34:(2 -1 -1 ?):[]:[]
Kabapum Trenches:997:449:0:-1:41:(2 -1 -1 ?):[]:[]
Old Cebacop:585:407:0:-1:33:(2 -1 -1 ?):[]:[]
Nikit fount:621:725:0:-1:38:(2 -1 -1 ?):[]:[]
Thon hollow:732:907:0:-1:35:(2 -1 -1 ?):[]:[]

